# /home/raghhav/.local/share/applications
quick-system-info,t
htop,t
mintstick,t
electron5,t
grub-customizer,t
nitrogen,t
electron,t
qv4l2,t
obkey,t
volumeicon,t
pavucontrol,t
conky,t
ca.desrt.dconf-editor,t
userapp-Telegram Desktop-DE57W0,f
electron8,t
tint2,t
gparted,t
arandr,t
org.gnome.DiskUtility,t
arduino-arduinoide,t
electron9,t
picom,t
hardinfo,t
bvnc,t
electron4,t
obconf,t
bssh,t
tint2conf,t
hardcode-fixer,t
urxvtc,t
electron6,t
gtk-lshw,t
yad-icon-browser,t
lstopo,t
compton,t
obmenu3,t
urxvt-tabbed,t
electron7,t
